Código (SKU);Produto;Quantidade;ICMS;IPI;PIS;COFINS;ST;Frete;Valor Total;Percentual
Farol-01;Bottons tema São Paulo;500;0;0;0;0;0;0;1100;78,67 %
GIM-KIT-GOR-05-01;Kit 5 Bótons - GORILLAZ - Bóton 3,5cm | Rock Alternativo/Hip Hop/Alternativo e Eletrônica | Música | Personalizados-Pin ;5;0;0;0;0;0;0;100;7,15 %
GIM-KIT-GOR-05-02;Kit 5 Bótons - GORILLAZ - Bóton 3,5cm | Rock Alternativo/Hip Hop/Alternativo e Eletrônica | Música | Personalizados-Pin;2;0;0;0;0;0;9;49;3,50 %
GIM-KIT-ACD-05-01;Kit 5 Bótons AC DC  bóton 3,5cm (35mm) | Rock | Música | Personalizados Pin broche botton - Kit 1;1;0;0;0;0;0;9,62;29,62;2,12 %
GIM-KIT-DEF-05-2;Kit 5 Bótons DEFTONES bóton 3,5cm | Alternative Metal / Nu Metal Artístico | Música | Personalizados Pin Broche Alfinete;1;0;0;0;0;0;9;27,38;1,96 %
GIM-KIT-GOR-05-03;Kit 5 Bótons - GORILLAZ - Bóton 3,5cm | Rock Alternativo/Hip Hop/Alternativo e Eletrônica | Música | Personalizados-Pin ;1;0;0;0;0;0;8,15;26,16;1,87 %
GIM-KIT-STR-05-4;Kit 5 Bótons STRAY KIDS/ STAY/ SKZOO bóton 3,5cm | K-Pop | Música | Personalizados Pin Broche Alfinete / Presente Fofo -;1;0;0;0;0;0;6,02;26,02;1,86 %
GIM-KIT-GAR-05-1;Kit 5 Bótons GAROTOS PODRES bótons 3,5cm | Punk Rock/ Hardcore/ Rock Brasileiro| Música | Broche Alfinete Personalizados;1;0;0;0;0;0;0;20;1,43 %
GIM-KIT-BLA-05-01;Kit 5 Bótons BLACK SABBATH bóton 3,5cm | Heavy Metal/Doom Metal/Hard Hock | Música | Personalizados Pin broche botton;1;0;0;0;0;0;0;20;1,43 %
